nombre,plataforma_principal,url,pais,especialidad,audiencia_aprox,plataforma_pago_actual,mensaje_personalizado,prioridad
Vanessa Palacio,Periodista deportiva,https://x.com/vanessitamia,Colombia,Análisis / nueva generación,~120K X,Sin membresía,"Vanessa, tu perspectiva está rompiendo barreras en periodismo deportivo. Membresía con tu mirada del Mundial = audiencia comprometida. Nebbuler 0%. ¿Charlamos?",P1
Camilo MD,YouTuber deportivo,https://www.youtube.com/@CamiloMD,Colombia,Curiosidades selección Colombia,~500K YT,YouTube AdSense,"Camilo, tu canal es de los más vistos en fútbol colombiano. Mundial = pico de tu audiencia. Membresía premium = nuevo ingreso. Nebbuler gratis. ¿Hablamos?",P1
David Faitelson,TUDN / Comentarista,https://x.com/DavidFaitelson_,México,Polémica / Liga MX / selección,~5.1M X,Sin membresía,"David, sos LA marca personal del periodismo deportivo mexicano. Con el Mundial en casa, una membresía propia genera ingresos sin TUDN. Nebbuler 0%. ¿15 min?",P0-WHALE
Álvaro Morales,ESPN,https://x.com/AlvaritoMorales,México,América / polémica / análisis,~3.8M X,Sin membresía,"Álvaro, tu comunidad americanista es ferviente. Mundial 2026 en México = oportunidad única para membresía propia. Nebbuler te la arma gratis. ¿Hablamos?",P0-WHALE
Roberto Gómez Junco,TUDN / Comentarista,https://x.com/rgomezjunco,México,Análisis táctico clásico,~1.2M X,Sin membresía,"Roberto, sos la voz más respetada del análisis táctico mexicano. Una membresía con tu mirada del Mundial sería trofeo. Nebbuler 0% hasta julio. ¿Te interesa?",P0-WHALE
Christian Martinoli,TV Azteca / Narrador,https://x.com/martinolimx,México,Narrador estrella selección,~5.4M X,Sin membresía,"Christian, sos LA voz del Tri. Con México siendo sede, una membresía con contenido detrás de cámara del Mundial = locura. Nebbuler te lo arma. ¿Hablamos?",P0-WHALE
Ignacio Suárez,Podcast / Periodista,https://x.com/fantasmasuarez,México,Narrativa / behind the scenes fútbol,~163K X,Spotify / Apple Podcasts (free),"Ignacio, tu podcast tiene una audiencia leal que pagaría por episodios exclusivos. Nebbuler te arma membresía sin comisión hasta el Mundial. ¿15 min?",P1
Yosgart Gutiérrez,El RePortero podcast,https://x.com/yosgartguti25,México,Entrevistas figuras fútbol mexicano,~10K X + YT,YouTube AdSense,"Yosgart, El RePortero tiene calidad de medio grande. Mundial = momento de saltar a membresía. Nebbuler 0% comisión hasta julio. ¿Hablamos?",P2
Werevertumorro (Gabriel Montiel),YouTube / Influencer,https://x.com/werevertumorro,México,América / cultura pop futbolera,17M YT / 8.6M X,YouTube / Merchan,"Gabriel, tu cobertura del fútbol es masiva. Mundial 2026 en México = membresía con contenido exclusivo te genera otro pilar. Nebbuler 0%. ¿Lo vemos?",P0-WHALE
David Medrano,Periodista TV Azteca,https://x.com/medranoazteca,México,Selección / Liga MX cobertura,~890K X,Sin membresía,"David, tu cobertura desde dentro de la Selección es única. Mundial en casa = momento de tu membresía propia. Nebbuler te la arma gratis. ¿Hablamos?",P0
Rubén Rodríguez,Editor / Reporte Índigo Sports,https://x.com/Rubenrodmedina,México,Periodismo de investigación deportiva,~85K X,Sin membresía,"Rubén, tu investigación deportiva es de las pocas serias en México. Suscriptores pagarían por tus exclusivas del Mundial. Nebbuler 0%. ¿Hablamos?",P1
Carlos Aguilar,Cracks (Univision),https://x.com/carlosaguilar9,México,Análisis Liga MX / Selección,~220K X,Sin membresía,"Carlos, tu análisis equilibrado es raro hoy. Membresía con tu lectura del Mundial = audiencia premium. Nebbuler te lo arma sin comisión. ¿15 min?",P1
JZ García,YouTuber Sunday League / fútbol,https://www.youtube.com/@JZGarcia,México,Fútbol popular / influencer,~1.2M YT,YouTube AdSense,"JZ, conectaste con una audiencia que el periodismo tradicional no entiende. Membresía con contenido exclusivo del Mundial = nuevo nivel. Nebbuler gratis. ¿Hablamos?",P1
Manuel de Tezanos,TNT Sports / YouTuber,https://x.com/manueldtp,Chile,Balong Radio / U de Chile / humor,~380K X,YouTube,"Manuel, Balong Radio rompió el molde. Membresía con material extra del Mundial = ingreso directo sin YouTube. Nebbuler 0% hasta julio. ¿Hablamos?",P0-WHALE
Patricio Yáñez,Comentarista / ex-jugador,https://x.com/patoyanezg,Chile,Análisis selección / Wanderers,~290K X,Sin membresía,"Pato, tu voz tiene autoridad histórica en Chile. Una membresía con tu análisis del Mundial = trofeo para quien lo arme. Nebbuler te lo deja gratis. ¿Hablamos?",P1
Fernando Solabarrieta,Periodista / Radio,https://x.com/solabarrieta,Chile,Selección Chile / clásicos,~340K X,Sin membresía,"Fernando, tu cobertura de la Roja desde siempre marca historia. Mundial sin Chile = momento de pivotar a contenido análisis premium. Nebbuler 0%. ¿15 min?",P1
Juan Cristóbal Guarello,Periodista crítico,https://x.com/JCristobalCNN,Chile,Análisis crítico / política futbolera,~430K X,Sin membresía,"Juan Cristóbal, sos el más crítico y honesto del periodismo chileno. Suscriptores pagarían por tu mirada sin filtro del Mundial. Nebbuler te lo arma. ¿Hablamos?",P0
Aldo Schiappacasse,Comentarista / TNT,https://x.com/aldoschiappa,Chile,Selección / Liga / análisis,~280K X,Sin membresía,"Aldo, tu equilibrio y conocimiento son referencia. Membresía con análisis Mundial = audiencia de calidad. Nebbuler 0% hasta julio. ¿Lo vemos?",P1
Cristián Caamaño,Radio ADN / Análisis,https://x.com/CaamanoCristian,Chile,U Católica / análisis,~150K X,Sin membresía,"Cristián, tu mirada táctica y de hincha UC tiene comunidad fiel. Membresía con tu cobertura del Mundial = nuevo ingreso. Nebbuler gratis hasta julio. ¿Hablamos?",P2
Rodrigo Hernández (RH18),YouTuber fútbol chileno,https://www.youtube.com/@RH18,Chile,Colo-Colo / Liga chilena,~180K YT,YouTube AdSense,"Rodrigo, tu canal RH18 es referencia entre hinchas de Colo-Colo. Membresía pre-Mundial = ingreso recurrente. Nebbuler 0% hasta julio. ¿Hablamos?",P2
Eddie Fleischman,Full Deporte / Independiente,https://x.com/efleischman,Perú,Análisis general / opinión,~520K X,YouTube,"Eddie, Full Deporte demostró que el modelo independiente funciona. Membresía complementaria = otro pilar para el Mundial. Nebbuler 0% hasta julio. ¿15 min?",P0-WHALE
Michael Succar,Denganche / YouTube,https://x.com/msuccar,Perú,Análisis selección / Liga 1,~280K X,YouTube,"Michael, Denganche tiene una audiencia premium. Membresía con tu cobertura del repechaje + Mundial = ingreso fuerte. Nebbuler te la arma. ¿Hablamos?",P0
Reimond Manco,Ex-jugador / Comentarista,https://x.com/Reimond_Manco10,Perú,Ex-jugador / opinión picante,~310K X,Sin membresía,"Reimond, sos polémica y entretenimiento puro. Tu audiencia pagaría por contenido sin filtro del Mundial. Nebbuler 0% comisión. ¿Te interesa?",P1
Juan Manuel 'Loco' Vargas,La Parrilla del Loco YouTube,https://x.com/lavargas_22,Perú,Entrevistas ex-jugadores / podcast,~480K X + YT,YouTube AdSense,"Loco, La Parrilla del Loco es lo más fresco del fútbol peruano. Membresía con episodios exclusivos del Mundial = jackpot. Nebbuler te la arma gratis. ¿Hablamos?",P0
Diego Pérez,Ex-jugador Uruguay,https://x.com/diegoperez_oficial,Uruguay,Ex-Selección / comentarista,~140K X,Sin membresía,"Diego, tu mirada como ex-Celeste es única. Membresía con análisis del Mundial desde adentro = audiencia comprometida. Nebbuler 0%. ¿15 min?",P1
Martín Charquero,Periodista / Sport 890,https://x.com/martincharquero,Uruguay,Peñarol / Liga uruguaya,~120K X,Sin membresía,"Martín, tu cobertura de Peñarol y selección es referencia. Comunidad uruguaya pagaría por contenido directo del Mundial. Nebbuler te la arma. ¿Hablamos?",P1
Alejandro Fantino,Periodista (uruguayo en AR),https://x.com/fantinofantino,Uruguay,Opinión / entrevistas,~1.4M X,YouTube (Neura),"Alejandro, Neura demostró que sabés monetizar. Membresía complementaria deportiva para el Mundial = nuevo segmento. Nebbuler 0% hasta julio. ¿Lo vemos?",P0-WHALE
Christian Font,Periodista / Punto Penal,https://x.com/cfont85,Uruguay,Selección / Liga Uruguaya,~85K X,Sin membresía,"Christian, tu trabajo en Punto Penal es de los más serios. Membresía con análisis Mundial = audiencia premium. Nebbuler gratis hasta julio. ¿Hablamos?",P2
Andrés Guschmer,Periodista TC TV,https://x.com/andresguschmer,Ecuador,Debate Football Ecuador / selección,~210K X,Sin membresía,"Andrés, sos referencia del periodismo deportivo ecuatoriano. Con La Tri en el Mundial = momento perfecto para tu membresía. Nebbuler 0%. ¿15 min?",P0
Vito Muñoz,Periodista / Radio,https://x.com/vitomunozc,Ecuador,Opinión / análisis Barcelona SC,~150K X,Sin membresía,"Vito, tu voz tiene peso en el fútbol ecuatoriano. Audiencia BSC + selección pagaría por contenido directo. Nebbuler te la arma sin comisión. ¿Hablamos?",P1
Carlos Vera Rodríguez,Bendito Fútbol,https://x.com/CARLOSVERAEC,Ecuador,Análisis Liga Pro / selección,~95K X,Sin membresía propia,"Carlos, Bendito Fútbol es el portal de referencia. Una capa de membresía premium para el Mundial = monetización directa. Nebbuler 0% hasta julio. ¿Hablamos?",P2
Jorge Nicola,Canal do Nicola YouTube,https://www.youtube.com/canaldonicola,Brasil,Mercado pases / bastidores futebol BR,~1.3M YT,YouTube AdSense,"Jorge, Canal do Nicola é referência absoluta. Membresía com furos do Mundial = receita recorrente fora do YouTube. Nebbuler 0% até julho. Vamos conversar?",P0-WHALE
Vitor Guedes,Bandsports / UOL / Comentarista,https://x.com/vitao_guedes,Brasil,Análisis / Corinthians / opinião,~620K X,Sin membresía propia,"Vitor, tua voz tem autoridade no jornalismo esportivo BR. Membresía com tua análise do Mundial = receita direta. Nebbuler 0% comissão até julho. 15 min?",P0
PVC (Paulo Vinícius Coelho),Folha / GE / Comentarista,https://x.com/pvc,Brasil,Análise tática / enciclopédia futebol,~450K X,Sin membresía,"PVC, és a enciclopédia viva do futebol. Membresía com tua análise tática do Mundial = trofeu. Nebbuler arma de graça até julho. Vamos conversar?",P0-WHALE
